"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120152","CT_18 - Verify cart total updates after quantity increase","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","2","MI_13 - Blinkit page title is correct on mobile","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120156","PD_07 - Verify quantity cannot go below minimum","chromium","2026-06-02","broken","2026-06-02","Module 4 - Product Details Module (PD)","04_productDetails/productDetails.spec.js","",""
"","5277","HN_13 - Verify mobile responsiveness","chromium","2026-06-02","failed","2026-06-02","","01_homepageNavigation/home.spec.js","",""
"","120148","S_10 - Verify product navigation from search results","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","120180","PD_04 - Verify image gallery functionality","chromium","2026-06-02","broken","2026-06-02","Module 4 - Product Details Module (PD)","04_productDetails/productDetails.spec.js","",""
"","120161","AT_09 - OTP input accepts all 4 digits","chromium","2026-06-02","broken","2026-06-02","Module 7 - Authentication Module (AT)","07_authentication/auth.spec.js","",""
"","120187","SF_15 - Verify Product Count Is Greater Than Zero","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","2","MI_07 -Verify Cart Visibility","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120198","AT_10 - Login popup closes successfully","chromium","2026-06-02","broken","2026-06-02","Module 7 - Authentication Module (AT)","07_authentication/auth.spec.js","",""
"","4","CF_06 - User can select a saved delivery address","chromium","2026-06-02","failed","2026-06-02","Module 6 - Checkout Flow Module (CF)","06_checkoutFlow/checkout.spec.js","",""
"","2","MI_08 - App loads correctly on iPhone SE","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120206","PD_08 - Verify Add to Cart button functionality","chromium","2026-06-02","broken","2026-06-02","Module 4 - Product Details Module (PD)","04_productDetails/productDetails.spec.js","",""
"","120183","HN_04 - Verify logo returns to Homepage","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
"","6","CF_02 - Checkout page is inaccessible without items in cart","chromium","2026-06-02","failed","2026-06-02","Module 6 - Checkout Flow Module (CF)","06_checkoutFlow/checkout.spec.js","",""
"","228","S_08 - Verify search works in mobile viewport","chromium","2026-06-02","passed","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","120185","CT_04 - Verify added product appears in cart","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120156","PD_09 - Verify 'Why shop from Blinkit' section is displayed","chromium","2026-06-02","broken","2026-06-02","Module 4 - Product Details Module (PD)","04_productDetails/productDetails.spec.js","",""
"","3","MI_09 - Search bar is visible on Samsung Galaxy S21","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120150","SF_03 - Category (Fruits)","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","120145","S_12 - Verify search suggestions appear dynamically","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","120188","HN_01 - Verifying Homepage loads successfully","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
"","120147","SF_06 - Verify Product Cards Display Product Price","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","120161","SF_02 - Category (Dairy)","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","2","MI_05 - Verify category buttons are visible on mobile","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120145","HN_15 - Verify homepage refresh behavior","chromium","2026-06-02","broken","2026-06-02","","01_homepageNavigation/home.spec.js","",""
"","6","AT_11 - User remains logged in","chromium","2026-06-02","failed","2026-06-02","Module 7 - Logged In Authentication Tests","07_authentication/loggedIn.spec.js","",""
"","2","MI_08 - App loads correctly on iPad","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120210","PD_03 - Verify product images load correctly","chromium","2026-06-02","broken","2026-06-02","Module 4 - Product Details Module (PD)","04_productDetails/productDetails.spec.js","",""
"","120087","PL_06 - Price information available","chromium","2026-06-02","broken","2026-06-02","Module 3 - Product Listing Module (PL)","03_productListing/productListing.spec.js","",""
"","120142","PL_01 - Product listing loads","chromium","2026-06-02","broken","2026-06-02","Module 3 - Product Listing Module (PL)","03_productListing/productListing.spec.js","",""
"","120148","AT_02 - Phone number field accepts valid input","chromium","2026-06-02","broken","2026-06-02","Module 7 - Authentication Module (AT)","07_authentication/auth.spec.js","",""
"","120192","AT_08 - Back button returns to phone number screen","chromium","2026-06-02","broken","2026-06-02","Module 7 - Authentication Module (AT)","07_authentication/auth.spec.js","",""
"","120145","PL_03 - Add Now button works","chromium","2026-06-02","broken","2026-06-02","Module 3 - Product Listing Module (PL)","03_productListing/productListing.spec.js","",""
"","120177","AT_05 - OTP fields accept digits","chromium","2026-06-02","broken","2026-06-02","Module 7 - Authentication Module (AT)","07_authentication/auth.spec.js","",""
"","120151","SF_04 - Verify Category Page Displays Products","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","2","MI_09 - Search bar is visible on iPhone SE","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120182","CT_19 - Verify cart total decreases after quantity reduction","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","2","MI_11 - Product page loads on mobile viewport","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120145","S_13 - Verify search results display correctly","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","120149","CT_16 - Verify clicking outside closes cart drawer","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120148","SF_12 - Verify Category Page Persists After Refresh","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","120199","CT_10 - Verify same product quantity increases instead of duplicate entry","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","6","AT_12 - Account menu opens","chromium","2026-06-02","failed","2026-06-02","Module 7 - Logged In Authentication Tests","07_authentication/loggedIn.spec.js","",""
"","120150","S_01 - Verify search icon opens search input field","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","120179","CT_01 - Verify Cart Visibility","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","7","CF_07 - User can add a new delivery address during checkout","chromium","2026-06-02","failed","2026-06-02","Module 6 - Checkout Flow Module (CF)","06_checkoutFlow/checkout.spec.js","",""
"","120198","PD_11 - Verify product availability status","chromium","2026-06-02","broken","2026-06-02","Module 4 - Product Details Module (PD)","04_productDetails/productDetails.spec.js","",""
"","2","MI_06 - Hamburger menu opens","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120145","S_09 - Verify search with uppercase input","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","120150","SF_10 - Verify Category URL Structure","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","7","AT_13 - Session persists after refresh","chromium","2026-06-02","failed","2026-06-02","Module 7 - Logged In Authentication Tests","07_authentication/loggedIn.spec.js","",""
"","2","MI_01 - App loads on mobile viewport","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120183","HN_11 - Verify browser back navigation","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
"","4","CF_10 - Address form contains required input fields","chromium","2026-06-02","failed","2026-06-02","Module 6 - Checkout Flow Module (CF)","06_checkoutFlow/checkout.spec.js","",""
"","120148","CT_11 - Verify cart count badge updates correctly","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120167","HN_06 - Verify search input accepts typing","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
"","120153","CT_07 - Verify product removal from cart","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","5","CF_08 - User can add new Address","chromium","2026-06-02","failed","2026-06-02","Module 6 - Checkout Flow Module (CF)","06_checkoutFlow/checkout.spec.js","",""
"","120179","CT_12 - Verify cart is empty state","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120145","S_11 - Verify special character search handling","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","120159","HN_03 - Verify Shop Now button functionality","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
