"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","AT_15 - Account redirect correctly to address page","chromium","2026-06-02","failed","2026-06-02","Module 7 - Logged In Authentication Tests","07_authentication/loggedIn.spec.js","",""
"","7","CF_05 - Progress steps are displayed on checkout page","chromium","2026-06-02","failed","2026-06-02","Module 6 - Checkout Flow Module (CF)","06_checkoutFlow/checkout.spec.js","",""
"","9","CF_03 - User can go back to cart from checkout without losing items","chromium","2026-06-02","failed","2026-06-02","Module 6 - Checkout Flow Module (CF)","06_checkoutFlow/checkout.spec.js","",""
"","2","MI_02 - Close intro slider","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120170","HN_09 - Verify footer","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
"","120150","HN_10 - Verify Contact footer link","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
"","2","MI_03 - Select delivery location","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120150","HN_07 - Verify search and redirect functionality","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
"","120144","S_03 - Search redirects to results page","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","2","MI_08 - App loads correctly on Samsung Galaxy S21","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","3","MI_10 - Blinkit logo is visible on mobile","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120159","AT_07 - Resend OTP option clickable","chromium","2026-06-02","broken","2026-06-02","Module 7 - Authentication Module (AT)","07_authentication/auth.spec.js","",""
"","5","CF_09 - User can see the new address form","chromium","2026-06-02","failed","2026-06-02","Module 6 - Checkout Flow Module (CF)","06_checkoutFlow/checkout.spec.js","",""
"","120198","PD_06 - Verify quantity selection functionality","chromium","2026-06-02","broken","2026-06-02","Module 4 - Product Details Module (PD)","04_productDetails/productDetails.spec.js","",""
"","7","CF_01 - User can navigate to checkout page from cart","chromium","2026-06-02","failed","2026-06-02","Module 6 - Checkout Flow Module (CF)","06_checkoutFlow/checkout.spec.js","",""
"","120143","S_02 - Verify search textbox accepts user input","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","120190","CT_08 - Verify cart total price updates dynamically","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120154","SF_01 - Category (Juice)","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","120163","PD_05 - Verify product specifications are visible","chromium","2026-06-02","broken","2026-06-02","Module 4 - Product Details Module (PD)","04_productDetails/productDetails.spec.js","",""
"","120164","CT_17 - Verify max quantity handling","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120148","S_05 - Verify empty search validation","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","5","AT_14 - Account links are working","chromium","2026-06-02","failed","2026-06-02","Module 7 - Logged In Authentication Tests","07_authentication/loggedIn.spec.js","",""
"","120145","HN_14 - Verify search suggestions appear","chromium","2026-06-02","broken","2026-06-02","","01_homepageNavigation/home.spec.js","",""
"","120152","CT_09 - Verify multiple products can be added to cart","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120186","CT_06 - Verify product quantity decrement","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120148","S_06 - Verify multiple consecutive searches","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","120153","HN_05 - Verifying Search Box Typing","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
"","120172","CT_15 - Verify cart drawer closes","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","4","CF_04 - Checkout page requires user to be logged in","chromium","2026-06-02","failed","2026-06-02","Module 6 - Checkout Flow Module (CF)","06_checkoutFlow/checkout.spec.js","",""
"","120153","SF_11 - Verify Category Page Loads Successfully","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","120146","PL_02 - product opens detail page","chromium","2026-06-02","broken","2026-06-02","Module 3 - Product Listing Module (PL)","03_productListing/productListing.spec.js","",""
"","120172","HN_02 - Verify location popup acceptance","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
"","120154","CT_14 - Verify cart persists across navigation","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120151","CT_03 - Verify sidebar cart opens","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120148","S_04 - Verify invalid search handling","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","3","MI_12 - Page is scrollable on mobile","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120091","PL_05 - Images load","chromium","2026-06-02","broken","2026-06-02","Module 3 - Product Listing Module (PL)","03_productListing/productListing.spec.js","",""
"","2","MI_04 - Verify Search Bar Visibility","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120151","SF_07 - Verify Product Cards Display Product Image","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","120147","SF_09 - Verify Category Page Is Not Empty","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","120176","AT_06 - Resend OTP option visible","chromium","2026-06-02","broken","2026-06-02","Module 7 - Authentication Module (AT)","07_authentication/auth.spec.js","",""
"","120149","AT_01 - Login popup opnes successfully","chromium","2026-06-02","broken","2026-06-02","Module 7 - Authentication Module (AT)","07_authentication/auth.spec.js","",""
"","2","MI_09 - Search bar is visible on iPad","chromium","2026-06-02","failed","2026-06-02","Module 9 -Mobile Interactive Module (MI)","09_responsiveBrowserUI/responsive.spec.js","",""
"","120147","SF_14 - Verify Scrolling Through Category Page Works","chromium","2026-06-02","broken","2026-06-02","Module - 8 Store Module Functionality (SF)","08_storeFunctionality/store.spec.js","",""
"","120146","S_07 - Verify Search close functionality","chromium","2026-06-02","broken","2026-06-02","Module - 2 Search Functionality Module (S)","02_searchFunctionality/search.spec.js","",""
"","120146","CT_05 - Verify product quantity increment","chromium","2026-06-02","broken","2026-06-02","Module 5 - Cart Functionality (CT)","05_cartFunctionality/cart.spec.js","",""
"","120155","PD_12 - Verify Product Banner Visibility","chromium","2026-06-02","broken","2026-06-02","Module 4 - Product Details Module (PD)","04_productDetails/productDetails.spec.js","",""
"","120090","AT_04 - OTP screen appears after valid phone number","chromium","2026-06-02","broken","2026-06-02","Module 7 - Authentication Module (AT)","07_authentication/auth.spec.js","",""
"","120091","AT_03 - Phone number field rejects invalid input","chromium","2026-06-02","broken","2026-06-02","Module 7 - Authentication Module (AT)","07_authentication/auth.spec.js","",""
"","120145","HN_12 - Verify sticky navbar","chromium","2026-06-02","broken","2026-06-02","Module 1 - Homepage Navigation Module (HN)","01_homepageNavigation/home.spec.js","",""
